A97-1020.pdf,This paper presents a new approach to automatic language learning that is based on natural language processing techniques.,0,This paper presents a new approach for automatic language learning.,0,This paper presents a new approach for automatic language learning.,0,
,"We use a rule-based learning algorithm to classify arbitrary sluices, and use two machine learning methods to classify if they resemble our Horn clause principles.",1,,,The results show that the two algorithms perform well.,1,
,We present a corpus-based investigation of sluices in the British National Corpus (BNC).,1,We present a corpus-based investigation of sluices in the British National Corpus (BNC).,1,This paper studies the problem of sluice classification in dialogue.,1,
,We use machine learning techniques to extract rules for sluices into dialogue types and discuss the methodology we use in this study.,1,We use machine learning techniques to extract rules for classifying sluices into dialogue types and discuss the methodology we used in this study.,1,The authors use machine learning techniques to classify sluices into dialogue types.,1,
,"We use heuristic principles to classify sluices, and use them to classify a sluice into dialogue types.",1,"We use heuristic principles to classify sluices, and use them to classify a sluice into dialogue types.",1,The authors use a heuristic to classify a sluice into a dialogue type.,0,
,We use a heuristic algorithm to classify arbitrary sluices.,0,We use a memory-based machine learning procedure to classify arbitrary sluices.,1,The authors use two machine learning algorithms to classify arbitrary sluices.,1,
,We use SLIPPER to classify recursive sluices and use it to classify lexical sluices from the BNC.,0,We use SLIPPER to classify recursive sluices and use a memory based machine learning procedure for identifying sluices that closely resemble our Horn clause principles.,0,"The first one uses SLIPPER to classify gaussian sluices, and the second one uses a memory-based machine learning procedure to classify bounded sluices from a training set.",0,
,,,,,The results show that the two algorithms perform well.,1,
C04-1036.pdf,"We present a new metric for evaluating word similarity, called relative feature focus (RFF), which is a new criterion for evaluating word similarities.",0,This paper proposes a new metric for evaluating word similarity.,1,This paper proposes a new metric for evaluating word similarity measures.,1,
,The metric is based on the notion of entailment between two words.,0,The metric is based on the relative feature focus (RFF) and is independent of any particular vector similarity measure.,0,"The metric is based on the notion of entailment, which is a general notion of semantic similarity.",1,
,The metric measures the similarity between two words by comparing the features of two words.,0,The metric aims to improve the quality of feature vectors by a novel feature weighting function.,0,"The authors propose a new criterion for evaluating word similarities, based on the relative feature focus (RFF).",0,
,"The RFF is a new measure for feature vector quality, which is independent of any particular vector similarity measure.",0,The metric improves the performance of word similarity measures by a significant margin.,0,The authors show that the metric is able to improve the performance of word similarity measures by a significant margin.,0,
,"To improve feature vector quality, a novel feature weighting function is introduced, called relative feature focal (RFF).",1,The metric also aims to improve word similarity by identifying the most important errors in the output of word similarity metrics.,0,The authors also show that the resulting metric can be used to improve the performance in a number of applications.,0,
,"To improve feature vectors, a novel weighting function is proposed, called relative feature attention (RFF).",1,,,,,
,We evaluate the quality of the RFF by comparing the similarity scores of two words in the same sentence.,0,,,,,
,We show that the quality of the metric is correlated with the quality of the feature vectors.,0,,,,,
,We present a new metric for evaluating the quality of word similarity measures.,1,This paper proposes a new metric for semantic-oriented NLP applications.,0,This paper proposes a new metric for evaluating word similarity measures.,1,
,The metric is based on the relative feature focus (RFF) and is independent of any particular vector similarity measure.,0,The metric is based on the relative feature focus (RFF) and is independent of any particular vector similarity measure.,0,"The metric is based on the notion of entailment, which is a general notion of semantic similarity.",1,
,The metric aims to improve the quality of feature vectors by a novel feature weighting function.,0,The metric aims to improve the quality of feature vectors by a novel feature weighting function.,0,"The authors propose a new criterion for evaluating word similarities, based on the relative feature focus (RFF).",0,
,The metric improves the performance of the metric by a significant margin.,0,The metric improves the performance of the metric by a significant margin.,0,The authors show that the metric is able to improve the performance of word similarity measures by a significant margin.,0,
,We propose a new criterion for evaluating the entailment relationship between words.,1,The metric also aims to improve performance of the resulting NLP applications.,0,The authors also show that the resulting metric can be used to improve the performance in a number of applications.,0,
C04-1103.pdf,This paper presents a novel framework for machine transliteration.,1,This paper presents a novel framework for machine transliteration.,1,This paper proposes a new phoneme-based approach for machine transliteration.,0,
,The new framework carries out the transliteration by direct orthographical mapping (DOM) without any intermediate phonemic mapping.,1,The new framework carries out the transliteration by direct orthographical mapping (DOM) without any intermediate phonemic mapping.,1,The proposed method combines the phoneme-based method with a joint source-target phoneme-based model to model the source-target phonemic association.,0,
,"Under this framework, we further propose a joint source-channel transliteration mode (n-gram TM) as an alternative machine learning-based approach to model the source-target word orthographic association.",1,"Under this framework, we further propose a joint source-channel transliteration mode (n-gram TM) as an alternative machine learning-based approach to model the source-target word orthographic association.",1,The proposed method is evaluated on English/Chinese and Japanese/English pairs.,1,
,"Without the loss of generality, we evaluate the performance of the proposed method for English/Chinese and English/Japanese pairs.",1,"Without the loss of generality, we evaluate the performance of the proposed method for English/Chinese and English/Japanese pairs.",1,The results show that the proposed method outperforms other state-of-the-art methods.,1,
,An experiment that compares the proposed method with several state-of-the-art approaches is also also presented.,1,An experiment that compares the proposed method with several state-of-the-art approaches is also also presented.,1,,,
,The results show that our method outperforms other previous methods significantly.,1,The results show that our method outperforms other previous methods significantly.,1,,,
,We propose a method for transliteration that combines phoneme-based phoneme-based and phoneme-based approaches.,0,We propose a method for back-transliteration that combines phoneme-based phoneme-based and phoneme-based approaches.,0,,,
,This paper presents a novel framework for machine transliteration.,1,This paper presents a novel framework for machine transliteration.,1,This paper proposes a new phoneme-based approach for machine transliteration.,0,
,The new framework carries out the transliteration by direct orthographical mapping (DOM) without any intermediate phonemic mapping.,1,The new framework carries out the transliteration by direct orthographical mapping (DOM) without any intermediate phonemic mapping.,1,The proposed method combines the phoneme-based method with a joint source-target phoneme-based model to model the source-target phonemic association.,0,
,"Under this framework, we further propose a joint source-channel transliteration mode (n-gram TM) as an alternative machine learning-based approach to model the source-target word orthographic association.",1,"Under this framework, we further propose a joint source-channel transliteration mode (n-gram TM) as an alternative machine learning-based approach to model the source-target word orthographic association.",1,The proposed method is evaluated on English/Chinese and Japanese/English pairs.,1,
,"Without the loss of generality, we evaluate the performance of the proposed method for English/Chinese and English/Japanese pairs.",1,"Without the loss of generality, we evaluate the performance of the proposed method for English/Chinese and English/Japanese pairs.",1,The results show that the proposed method outperforms other state-of-the-art methods.,1,
,An experiment that compares the proposed method with several state-of-the-art approaches is also also presented.,1,An experiment that compares the proposed method with several state-of-the-art approaches is also also presented.,1,,,
,The results show that our method outperforms other previous methods significantly.,1,The results show that our method outperforms other previous methods significantly.,1,,,
,We propose a method for transliteration that combines phoneme-based phoneme-based and phoneme-based approaches.,0,We propose a method for transliteration that combines phoneme-based phoneme-based and phoneme-based approaches.,0,,,
C96-1062.pdf,We present a model of interpretation of nominal compounds that accounts for structural rules of interpretation of nominal compound constituents.,1,We present a model of interpretation of nominal compounds that accounts for structural rules of interpretation of nominal compound constituents.,1,This paper proposes a new model of interpretation rules for nominal compounds.,1,
,"We describe a general model of interpretation that accounts for structural rule of interpretation of nominal constituents, i.e., domain-independent rnles that are deduced from the rnorpho-syntactic and semantic characteristics of the nominal constituents.",1,The model is based on general principles regarding the association between nouns and predicative information.,1,"The model is based on the notion of ""productivity"" and a ""semantic"" hierarchy, which is a set of semantic features that are adapted to the input of a neural network.",0,
,We then describe how this general model of interpretation can be used to enrich im formation retrieval in a system that is open-domaln.,1,"We then describe how the interpretation of nominal compounds is carried out when conlpoullds contain explicit predicative information, and then propose how this general model may be lied to the interpretation of compounds in texts.",0,"The model is evaluated on a set of synthetic compounds, and a set of compound-specific datasets.",0,
,"We describe es--> Phis project, which is supported by the CNET-INRIA project.",0,We describe a model of the interpretation of nominal compound compounds that accounts for the association between nounes and predicate information.,0,"The model is shown to be able to extract a large number of recursive nouns and compounds, and to be able for a variety of interpretation rules.",0,
,We describe linguistic rules for a compound that are a mixture of a recursive term and a recurrent term.,0,"We describe es--> Phis project, which is supported by the CNET-INRIA project.",0,,,
,We describe lexical features for a compound whose constituents are root nonainals.,0,,,,,
,We present a model of interpretation of nominal compounds that accounts for structural rules of interpretation of nominal compound constituents.,1,We present a model of interpretation of nominal compounds that accounts for structural rules of interpretation of nominal compound constituents.,1,This paper proposes a new model of interpretation rules for nominal compounds.,1,
,The model is based on general principles regarding the association between nouns and predicative information.,1,The model is based on general principles regarding the association between nouns and predicative information.,1,"The model is based on the notion of ""productivity"" and a ""semantic"" hierarchy, which is a set of semantic features that are adapted to the input of a neural network.",0,
,"We then describe how the interpretation of nominal compounds is carried out when conlpoullds contain explicit predicative information, and then propose how this general model may be lied to the interpretation of compounds in texts.",0,"We then describe how the interpretation of nominal compounds is carried out when conlpoullds contain explicit predicative information, and then propose how this general model may be lied to the interpretation of compounds in texts.",0,"The model is evaluated on a set of synthetic compounds, and a set of compound-specific datasets.",0,
,"We describe a model of the interpretation of nominal compound compounds that accounts for the structural rules of interpretation, and show how it can be used to enrich im formation retrieval in a system that is open-domaln.",1,We describe a model of the interpretation of nominal compound compounds that accounts for the structural rules of interpretation.,1,"The model is shown to be able to extract a large number of recursive nouns and compounds, and to be able for a variety of interpretation rules.",0,
,"We describe es--> Phis project, a system that consists of a hierarchical hierarchy of nouns and constituents.",0,"We describe es--> Phis project, which is supported by the CNET-INRIA project.",0,,,
E06-1022.pdf,This paper presents results on addressee identification in four-participants face-to-face meetings using Bayesian Network and Naive Bayes classifiers.,1,This paper presents results on addressee identification in four-participants face-to-face meetings using Bayesian Network and Naive Bayes classifiers.,1,This paper studies the problem of identifying the speaker of a face-to-face meeting.,0,
,"The results are based on the Bayesian Network classifiers, which are able to identify the speaker and unaddressed participants.",1,"The results are based on the Bayesian Network classifiers, which are based on a unified framework for identifying the participants in a face-to-few meeting.",0,The authors propose a Bayesian Network and Naive Bayes classifier for the task of addressee identification in four-participants face-to-few meetings.,1,
,The results are also used to compare the performance of the Bayesian and Naive Bayels classifiers for the task of addressee prediction over various feature sets.,1,The results are evaluated on four-partiance face-to-frame meetings with four participants.,0,The authors use a Bayes-based classifier to identify the speaker and unaddressed participants.,0,
,The results are obtained by comparing the performance of the two classifiers on four-partiance face-to- face meetings.,0,The results show that the Bayesian network and Naive Bayels classifiers perform better than the baselines.,0,The authors also use a Bayer-based classifier for the problem of addressee prediction.,0,
,"We use a Bayesian Network to identify the speaker, unaddress and ratified participants.",0,,,The results show that the Bayesian Network can identify the speaker and the unaddressing participants.,0,
,This paper presents results on addressee identification in four-participants face-to-face meetings using Bayesian Network and Naive Bayes classifiers.,1,This paper presents results on addressee identification in four-participants face-to-face meetings using Bayesian Network and Naive Bayes classifiers.,1,This paper studies the problem of identifying the speaker of a face-to-face meeting.,0,
,"The results are based on the Bayesian Network, a classifier for multi-modal information, and a classifier that combines information about meeting context with the performance of classifiers.",0,"The results are based on the Bayesian Network, a classifier that is trained to predict the speaker's participation in the conversation.",0,The authors propose a Bayesian Network and Naive Bayes classifier for the task of addressee identification in four-participants face-to-few meetings.,1,
,"We use the Bayesian network to identify the speaker, addressee and unaddressed participants in a face-to-few meeting.",0,The results are also used to compare the performance of the Bayesian and Naive Bayels classifiers for the task of addressee prediction over various feature sets.,1,The authors use a Bayes-based classifier to identify the speaker and unaddressed participants.,0,
,We use the Naive Bayesian classifier to identify the speaker and unadjusted participants.,0,The results are shown to be useful for applications related to multi-party interaction.,1,The authors also use a Bayer-based classifier for the problem of addressee prediction.,0,
,,,,,The results show that the Bayesian Network can identify the speaker and the unaddressing participants.,0,
E99-1015.pdf,We present a method for automatically identifying important sentences in a source text by determining their most likely argumentative role.,1,We present a method for automatically identifying important sentences in a source text by determining their most likely argumentative role.,1,This paper proposes a new method for automatically identifying important sentences in a text.,1,
,We use a corpus of scientific articles to generate a set of sentences that are characterized by their most likely argumentive role.,1,We use a corpus of scientific articles to generate a set of sentences that are characterized by their most likely argumentive role.,1,The method is based on the idea that rhetorical relations are global to the argumentation of the paper.,0,
,We use the corpus to generate a summary of scientific articles.,0,We use the corpus to generate a summary of scientific articles.,0,The authors propose to use a corpus of scientific articles to generate a corpus that is able to be used for summarization.,0,
,We use linguistic relations to determine the most likely argumentative roles in the paper.,0,We use linguistic relations to determine the most likely argumentative roles in the paper.,0,The corpus is then used to generate a summary of the paper.,0,
,We use lexical information to determine the most probable argumentative role in the paper.,0,We use lexical information to evaluate the annotation scheme's reliability.,0,,,
,,,We use supervised learning to evaluate the annotation schemes' reliability.,0,,,
,We present a method for automatically generating a summary of a scientific paper.,0,We present a method for automatically generating a summary of a scientific paper.,0,This paper proposes a new method for automatically identifying important sentences in a text.,1,
,"The method is based on a corpus of scientific articles, which are a collection of texts that are annotated with information about the argumentative role that sentence plays in the paper.",0,"The method is based on a corpus of scientific articles, which are a collection of texts that are annotated with information about the argumentative role that sentence plays in the paper.",0,The method is based on the idea that rhetorical relations are global to the argumentation of the paper.,0,
,The annotation scheme is based on the notion of rhetorical relations as defined by Rhetorical Structure Theory (RST).,1,The annotation scheme is based on the notion of rhetorical relations as defined by Rhetorical Structure Theory (RST).,1,The authors propose to use a corpus of scientific articles to generate a corpus that is able to be used for summarization.,0,
,"The annotation scheme is tested on a range of text types, including research articles, scientific articles, and scientific articles.",0,"The annotation scheme is tested on a range of text types, including research articles, scientific articles, and scientific articles.",0,The corpus is then used to generate a summary of the paper.,0,
,"We use a corpus to generate a summary of the paper, and use it to generate a summary of the paper.",0,We show that the annotation scheme can be used for text summarization in a range of fields.,1,,,
,We use linguistic techniques to evaluate the annotation scheme's reliability.,0,"We use a corpus to generate a summary of scientific articles, and use it to generate a summary of scientific articles.",0,,,
,We use lexical information to evaluate the annotation of a sentence.,0,,,,,
I05-4010.pdf,We present a new corpus of bilingual text pairs aligned at various levels of granularity.,0,This paper presents a new corpus of bilingual text pairs aligned at various levels of granularity.,0,This paper presents a new resource for mining bilingual text from the Web.,0,
,We use the bilingual laws information system (BLIS) to extract the bilingual text pairs from the Web and extract the content texts from the Web pages.,0,"The bilingual text pairs are extracted from the Web, and the alignment results are based on the HK-SAR.",0,The resource is based on the bilingual laws information system (BLIS) and is based on a bilingual corpus of HK laws.,0,
,We use the BLIS to extract the text structures from the Web pages and align them using consistent intrinsic features in the Web pages and content texts.,0,The bilingual text pair is extracted from the Web and aligned with the text structure.,0,The resource is extracted from the BLIS and a sub-paragraph alignment is performed.,1,
,We use the XML schema to encoding the alignment results and illustrate the display mode for browsing the aligned bilingual corpus.,1,"The alignment results are compared to the HK-sAR, and the HK-BLIS, which is a bilingual information system.",0,The results are compared to the BLIS and the HK-SAR.,0,
,We use the Bilingual Law Information System (BLIS) for extracting the bilingual text pairs.,1,The HK-SARS is a bilingual text pair that is extracted from the web.,0,The results show that the resource is useful for a variety of applications.,1,
,,,The HK HK-Sar is a bilingual lexicon of the laws of Hong Kong.,0,,,
,,,The HK is a bilingual corpus of the laws of the laws of HK.,0,,,
,,,The HK's laws are a sub-paragraph-aligned bilingual corpus of about 20 million words.,0,,,
,,,The HK laws are a bilingual text corpus of the law of Hong Kong.,0,,,
,"Bitexts, also referred to as parallel texts or bilingual corpora, are a valuable resource for empirical machine translation research.",1,"We present a new bilingual corpus of parallel texts of the laws of Hong Kong, which is a subparagraph-aligned bilingual corpus of about 20 million words.",1,This paper presents a new resource for mining bilingual text from the Web.,0,
,"We present a new bilingual text alignment system, which is based on the bilingual laws information system (BLIS), which is based upon the bilingual laws information systems (BLIS).",0,"The bilingual texts of the laws are introduced in Section 2, with an emphasis on HK's legislation text hierarchy and its numbering system that can be utilized for text alignment to subparagraph level.",1,The resource is based on the bilingual laws information system (BLIS) and is based on a bilingual corpus of HK laws.,0,
,We use the BLIS to extract the bilingual text from the Web and extract the content texts from the Web.,0,The bilingual texts are also characterized by consistent intrinsic features in the Web pages and content texts.,0,The resource is extracted from the BLIS and a sub-paragraph alignment is performed.,1,
,We use the BLI to extract the content texts and align the text structures in terms of the text hierarchy.,0,We use the bilingual laws information system to extract the bilingual text from the Web and extract the content texts from the Web pages.,0,The results are compared to the BLIS and the HK-SAR.,0,
,We use the XML schema to encoding the alignment results and illustrate the display mode for browsing the aligned bilingual corpus.,1,We use the XML schema for encoding the alignment results and illustrate the display mode for browsing the aligned bilingual corpus.,1,The results show that the resource is useful for a variety of applications.,1,
,We use the bilingual laws information corpus to extract the bilingual texts from the Web and align the text structure in terms of the numbering system.,0,,,,,
J05-4003.pdf,We present a method for identifying parallel sentences in comparable corpora.,1,We present a method for identifying parallel sentences in comparable corpora.,1,This paper proposes a method for identifying parallel sentences in comparable corpora.,1,
,We use a maximum entropy classifier to determine whether two sentences are translations of each other.,1,We use a maximum entropy classifier to determine whether two sentences are translations of each other.,1,The method is based on the idea of entropy-based classifiers that can reliably identify good translations of parallel texts.,1,
,We use reorderings and deletions to determine whether two sentence pairs are translations of one another.,0,We use reorderings and deletions to determine whether two sentence pairs are translations of one another.,0,"The method is evaluated on a large dataset of newspaper articles, and shows that the method can improve the performance of a baseline MT system trained only on existing parallel data.",1,
,We use entropy-based classifiers to determine whether sentences are translations.,1,We show that adding these sentences to the training data improves the system's performance.,1,,,
,We use lexical information retrieval to determine whether two pairs are translations.,0,We also show that language pairs for which very little parallel data is available are likely to benefit the most from our method.,1,,,
,,,We use entropy-based classifiers to determine whether sentences are translations.,1,,,
,We present a method for identifying parallel sentences in comparable corpora.,1,This paper describes a method for identifying parallel sentences in comparable corpora.,1,This paper proposes a method for identifying parallel sentences in comparable corpora.,1,
,We use a maximum entropy-based classifier to determine whether two sentences are translations of each other.,1,We use a maximum entropy-based classifier to determine whether two sentences are translations of each other.,1,The method is based on the idea of entropy-based classifiers that can reliably identify good translations of parallel texts.,1,
,We use this classifier to extract parallel sentences from very large comparable corpora of newspaper articles.,1,We also show that language pairs for which very little parallel data is available are likely to benefit the most from our method.,1,"The method is evaluated on a large dataset of newspaper articles, and shows that the method can improve the performance of a baseline MT system trained only on existing parallel data.",1,
,We show that adding these sentences to the training data of an SMT system improves the performance of the system.,1,We use entropy based classifiers to determine whether two sentence pairs are translations of one another.,1,,,
,We also show that language pairs for which very little parallel data is available are likely to benefit the most from our method.,1,We use reorderings and deletions to determine whether the sentences are translations.,0,,,
,We use entropy based classifiers to determine whether two sentence pairs are translations of one another.,1,,,,,
N06-1037.pdf,This paper presents a tree kernel based approach for relation extraction.,1,This paper presents a tree kernel based approach for relation extraction.,1,This paper proposes a tree kernel based approach for relation extraction.,1,
,The tree kernel is a combination of a dependency tree kernel and a dependency tree.,0,"The method uses a convolution tree kernel to capture syntactic, syntactic and semantic features.",1,"The proposed method is based on the idea of combining the syntactic, syntactic and semantic features.",1,
,The dependency tree kernel is based on the tree-level information of the parse tree.,0,The experiments show that the convolution tree kernel plus entity features achieves slightly better performance than the best-reported feature-based methods.,1,The authors show that the convolution tree kernel and entity features achieves slightly better performance than the two dependency tree kernels.,1,
,The dependency trees are a combination of the tree-level and dependency tree features.,0,"It also shows that our method significantly outperforms the two dependency tree kernels (Bunescu and Mooney, 2005) on the 5 ACE relation types.",1,The experiments show that the conv tree kernel and entity feature achieves slightly better results than the two dependency trees.,0,
,The dependency tree features are a combination between the tree-level features and the dependency tree features.,0,We use a dependency tree kernel to capture the syntactic tree features and other various features that have been proven useful in feature-based methods for relation extraction.,0,The experiments also show that the conc tree kernel and entity tree kernel achieves slightly better performances than the two dependency Tree kernels.,0,
,We show that the dependency tree kernel and the dependency tree kernel achieve slightly better performance than the best-reported feature-based methods.,0,,,,,
,We also show that the convolution tree kernel plus entity features achieves slightly better performance than previous best-reported features.,1,,,,,
,We use a dependency tree tree kernel to extract the syntactic tree features.,0,,,,,
P03-1070.pdf,"This paper presents an empirical study of the role of nonverbal information in grounding, and presents an implementation of that model into an embodied conversational agent.",1,"This paper presents an empirical study of the role of nonverbal information in grounding, and proposes a model of grounding using both verbal and nonverbal information.",1,This paper proposes a model of grounding that uses both verbal and nonverbal information to ground the grounding process.,1,weird phrasing
,"The model is based on the observation that the listener is actively observing the listener's behavior, and that the listener' s attention is primarily on the task of grounding.",0,"The model is based on the observation that the listener is actively listening to the signal of grounding, and that the listener's attention is conditioned on the task.",0,"The model is based on the observation that the listener is actively listening to the grounding signal, and that the listener's attention is a signal of understanding of the grounding process, and that the grounding process is a collaborative process.",0,
,"The model is evaluated on a set of human face-to-face datasets, and compared to a baseline model of grounding using both verbal and nonverbal information.",0,"The model is evaluated on a human face-to-face dataset, and compared with a embodied conversational agent.",0,The authors show that the model can be applied to embodied humanoids that can engage in human conversational protocols.,1,
,We show that the model of grounding is able to establish common grounding using both visual and verbal information.,0,"The model is tested on a user interacting with an embodied conversation agent, and compared against a user observing with an embodieded conversational agent, and a embodieded humanoid.",0,,,
,"This paper presents an empirical study of the role of nonverbal information in grounding, and presents an implementation of that model into an embodied conversational agent.",1,"This paper presents an empirical study of the role of nonverbal information in grounding, and proposes a model of grounding using both verbal and nonverbal information.",1,This paper proposes a model of grounding that uses both verbal and nonverbal information to ground the grounding process.,1,
,"The model is based on the observation that the listener is actively observing the listener's behavior, and that the listener' s attention is primarily on the task of grounding.",0,"The model is based on the observation that the listener is actively listening to the signal of grounding, and that the listener's attention is conditioned on the task.",0,"The model is based on the observation that the listener is actively listening to the grounding signal, and that the listener's attention is a signal of understanding of the grounding process, and that the grounding process is a collaborative process.",0,
,"The model is evaluated on a variety of datasets, including a human-machine interface, a human-dog interface, and a simulated human-dog interface.",0,"The model is evaluated on a human face-to-face dataset, and compared with a embodied conversational agent.",0,The authors show that the model can be applied to embodied humanoids that can engage in human conversational protocols.,1,
,We show that the model can be used to adapt dialogue management to face-to-face conversation with an embodied humanoid.,1,"The model is tested on a user interacting with an embodied conversation agent, and compared against a user observing with an embodieded conversational agent, and a embodieded humanoid.",0,,,
P04-2005.pdf,We present a method for automatically acquiring topic signatures for WSD.,1,This paper presents a method for automatically acquiring topic signatures for WSD.,1,This paper proposes a method for automatically acquiring topic signatures for WSD.,1,
,"We use Chinese-English and English-Chinese bilingual lexicons and a large amount of Chinese text, which can be collected either from the Web or from Chinese corpora.",1,"The method builds topic signatures by using Chinese-English and English-Chinese bilingual lexicons and a large amount of Chinese text, which can be collected either from the Web or from Chinese corpora.",1,"The method is based on a cross-lingual paradigm, where the goal is to generate a set of topic signatures that are similar to the word in the other language.",1,
,"Since topic signatures are potentially good training data for WSD algorithms, we set up a task to disambiguate 6 words using a WSD algorithm similar to Schütze's 1998 context-group discrimination.",1,"The method is based on a cross-lingual paradigm, which is a cross-linguistic paradigm.",1,"The method is evaluated on a set of WSD tasks, and the results show that the proposed method is effective in achieving the goal.",1,
,The results show that our topic signatures are useful for WSD.,1,The method is evaluated on a task to disambiguate 6 words using a WSD algorithm similar to Schütze's context-group discrimination.,0,,,
,,,The results show that our topic signatures are useful for WSD.,1,,,
,,,We use a cross-language model to generate topic signatures.,1,,,
,We present a method for automatically acquiring topic signatures for WSD.,1,This paper presents a method for automatically acquiring topic signatures for WSD.,1,This paper proposes a method for automatically acquiring topic signatures for WSD.,1,
,"We use Chinese-English and English-Chinese bilingual lexicons and a large amount of Chinese text, which can be collected either from the Web or from Chinese corpora.",1,"The method builds topic signatures by using Chinese-English and English-Chinese bilingual lexicons and a large amount of Chinese text, which can be collected either from the Web or from Chinese corpora.",1,"The method is based on a cross-lingual paradigm, where the goal is to generate a set of topic signatures that are similar to the word in the other language.",1,
,"Since topic signatures are potentially good training data for WSD algorithms, we set up a task to disambiguate 6 words using a WSD algorithm similar to Schütze's 1998 context-group discrimination.",1,"Since topic signatures are potentially good training data for WSD algorithms, we set up a task to disambiguate 6 words using a WSD algorithm similar to Schütze's 1998 context-group discrimination.",1,"The method is evaluated on a set of WSD tasks, and the results show that the proposed method is effective in achieving the goal.",1,
,The results show that our topic signatures are useful for WSD.,1,The results show that our topic signatures are useful for WSD.,1,,,
,The paper describes the acquisition process of automatically acquiring topic Signatures.,1,We use a cross-lingual paradigm to automatically acquire topic signatures.,1,,,
,We use Chinese monolingual text to generate topic signatures.,1,,,,,
,"We use a cross-lingual paradigm to automatically generate topic signatures, which is a cross-linguistic paradigm.",1,,,,,
,We use Chinese bilingual text to generate topic Signatures.,0,,,,,
P05-1039.pdf,"We present a new unlexicalized parser for German, which achieves the highest performance known to us by making use of smoothing and a highly-tuned suffix analyzer for guessing part-of-speech tags from the input text.",1,"We present a new unlexicalized parser for German, which achieves the highest performance known to us by making use of smoothing and a highly-tuned suffix analyzer for guessing part-of-speech tags from the input text.",1,This paper presents a new unlexicalized parsing model for German.,1,
,"We also use treebank transformations ( Johnson, 1998; Klein and Manning, 2003) instead of a grammar induced directly from a treebank.",1,We also use treebank transformations instead of a grammar induced directly from a treebank.,1,"The model is based on a treebank transformation, which is a grammatical function of the underlying word order.",0,
